number,value,params_aggregation,params_batch_norm,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,user_attrs_test_mae,user_attrs_test_rmse,user_attrs_test_r2
0,0.0632925331592559,mean,False,2,0.2334962436875518,3901,2,0.0361072573754187,0.2742837613605395,0.0024621465148657,1606,3,3.7195432201931338,5.209545303165367,0.9356992165535744
91,0.1769561022520065,mean,False,4,0.2912440100323299,464,6,0.2400617103458299,0.2187479716174135,0.0019487044907089,374,1,6.394109367302761,8.898286090226849,0.8124015025249949
98,0.1851167827844619,mean,False,3,0.3407451162882973,431,6,0.140730601426511,0.2908693390313515,0.0025773211988252,294,1,6.903737914841697,9.213730921650631,0.7988649878146665
94,0.1945534348487854,mean,False,3,0.3401650938618633,508,6,0.2440988194120927,0.223689906695547,0.0022248673994815,345,1,6.427272974876213,9.38932651533567,0.7911254581899126
43,0.1983424425125122,mean,False,6,0.2178865920102473,1478,6,0.2341430503111319,0.2038281609030358,0.0022144268422358,425,1,6.958495891450776,9.452795078419314,0.7882920764256712
65,0.1989022940397262,mean,False,5,0.2051482355456207,2751,6,0.3323683971372153,0.1234518637052646,0.0031441836744482,335,2,7.518265152902688,9.758280414253688,0.7743874708942382
42,0.2003575414419174,mean,False,6,0.2379244348804468,1622,6,0.2206752860682934,0.2836625893888332,0.0027481565265438,436,2,6.799725899353274,9.72783587043066,0.7757930373601742
99,0.2021014988422393,mean,False,4,0.3362808357482464,402,6,0.1146160551823642,0.30642967381939,0.0030983892856896,269,5,6.725767898251188,9.45646793767322,0.7881275273241943
96,0.2025816887617111,mean,False,3,0.3377584468097813,537,6,0.7303072402828988,0.2283007634747662,0.00274658012509,332,1,7.095263124186856,9.591422279297342,0.782037063521165
58,0.2034529149532318,mean,False,6,0.1947897925834926,3662,6,0.184989172863637,0.3398666059338009,0.003025631780556,259,1,6.909701557822447,9.29335436932883,0.7953736197814618
