number,value,params_depth,params_ffn_hidden_dim,params_message_hidden_dim,user_attrs_test_mae,user_attrs_test_rmse,user_attrs_test_r2
0,0.0690649524331092,6,2218,682,4.056134568555951,5.529356757173609,0.9275621002808648
9,0.2343985438346862,5,279,763,6.744228301977283,10.396980463024654,0.7438873191993501
2,0.240453839302063,4,3594,1515,7.386721150452992,10.241582462350822,0.7514860578378133
6,0.264092743396759,2,1110,586,8.071484252880346,11.01118864829947,0.7127334671699453
1,0.3051623702049255,4,408,496,7.453533841798454,11.720017289051142,0.674558351639828
8,0.3322078585624695,4,673,1395,8.257665541948768,12.068389584826653,0.6549235917459473
4,0.3347515761852264,2,854,1409,9.885288290950497,12.386220610224948,0.6365085096257859
3,0.3990407288074493,6,729,848,8.128602258409332,13.118018611710657,0.5922883588892849
5,0.441765546798706,6,297,470,8.702968970555496,13.91538397124708,0.5412173187918189
7,0.6310293078422546,2,3097,268,12.615647684650838,16.81627171582776,0.3299980628999285
