number,value,datetime_start,datetime_complete,duration,params_aggregation,params_batch_norm,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,user_attrs_test_mae,user_attrs_test_r2,user_attrs_test_rmse,user_attrs_test_samples,state
13,0.20655088126659393,2026-05-07 10:38:48.084306,2026-05-07 10:55:33.559061,0 days 00:16:45.474755,mean,False,4,0.295685054450017,1854,4,0.7495841171808246,0.6252641291561233,0.002846396799416508,726,3,7.018028711983535,0.7761560024138748,9.71995856233919,6185,COMPLETE
14,0.3232504427433014,2026-05-07 10:55:33.559373,2026-05-07 11:07:46.875470,0 days 00:12:13.316097,mean,False,4,0.39292885366872154,1855,4,0.8864208385437998,0.258427592552044,0.0037648525677387583,1376,1,8.730469744226676,0.6654788313406,11.882381435903708,6185,COMPLETE
15,4.242115020751953,2026-05-07 11:07:46.875769,2026-05-07 11:15:29.581412,0 days 00:07:42.705643,sum,False,2,0.29856983707000906,1142,2,0.05464837601991397,0.5544695029881254,0.0024641942939300004,762,4,42.31726594522487,-3.5257400270468624,43.70553978989971,6185,COMPLETE
16,0.31730952858924866,2026-05-07 11:15:29.581703,2026-05-07 11:29:40.410161,0 days 00:14:10.828458,mean,False,3,0.16692406943451124,2133,3,0.012532167516738503,0.7563367883932026,0.003458044554596688,1319,5,7.8776079466194515,0.6682102998360715,11.833770347131766,6185,COMPLETE
17,0.3255712687969208,2026-05-07 11:29:40.410455,2026-05-07 11:46:00.772282,0 days 00:16:20.361827,mean,False,4,0.11217596550442296,677,4,0.4858214160457642,0.5414889111108638,0.00491807948086164,2021,2,8.956626056988776,0.6530474525022019,12.101152310285828,6185,COMPLETE
18,0.3702477514743805,2026-05-07 11:46:00.772582,2026-05-07 11:57:26.900661,0 days 00:11:26.128079,norm,True,2,0.3850902562482404,1371,2,0.08686789620236372,0.25322751840880864,0.002114107720223228,278,3,7.847990253420732,0.6036903470181227,12.933289893699289,6185,COMPLETE
19,3.674365520477295,2026-05-07 11:57:26.900964,2026-05-07 12:02:36.660820,0 days 00:05:09.759856,sum,False,4,0.29196846114110775,2359,5,0.022500332094525455,0.058637327092252084,0.0032351507490139433,858,5,39.261794839179025,-2.91060428991178,40.626894192209235,6185,COMPLETE
20,0.3767995834350586,2026-05-07 12:02:36.661121,2026-05-07 12:20:29.994706,0 days 00:17:53.333585,mean,False,3,0.19602206633817537,375,1,0.17197851133663528,0.4471779269138103,0.0012019874699180076,594,4,8.393001001923915,0.6087688456826412,12.85015607005004,6185,COMPLETE
21,0.30251216888427734,2026-05-07 12:20:29.995055,2026-05-07 12:37:35.774071,0 days 00:17:05.779016,mean,False,5,0.24002003060694221,4072,6,0.5756808827707588,0.7942410648718283,0.0018231590434805778,531,3,6.832986297237363,0.6872864708946079,11.4885448034108,6185,COMPLETE
22,0.2813495397567749,2026-05-07 12:37:35.774384,2026-05-07 12:49:46.017894,0 days 00:12:10.243510,mean,False,6,0.2850995065940346,2520,5,0.20968315243144275,0.6117809099741379,0.0022200209027804585,487,3,6.836734457794658,0.6937812598179856,11.36861526964842,6185,COMPLETE
23,0.3204594850540161,2026-05-07 12:49:46.018211,2026-05-07 12:55:51.614260,0 days 00:06:05.596049,mean,False,5,0.1980513572482559,3137,4,0.6678736258035911,0.800891861971876,0.0008084257204577923,641,2,8.440189716212675,0.6662022029511036,11.86952719839506,6185,COMPLETE
24,0.32067444920539856,2026-05-07 12:55:51.614573,2026-05-07 12:58:32.498226,0 days 00:02:40.883653,mean,False,5,0.3418348534999227,1544,3,0.4548842348804883,0.7189140280039046,0.0014450691058173998,332,3,8.566654979363506,0.661779329625005,11.947904974694401,6185,COMPLETE
25,0.2981019914150238,2026-05-07 12:58:32.498538,2026-05-07 13:22:42.459472,0 days 00:24:09.960934,mean,False,6,0.2268748841417113,2172,6,0.07110554720415034,0.4729464548683371,0.0038545066313642883,829,4,8.434347840095588,0.6662998201310932,11.867791485177248,6185,COMPLETE
26,0.7333959341049194,2026-05-07 13:22:42.459794,2026-05-07 13:35:48.167218,0 days 00:13:05.707424,mean,True,4,0.2725789340967844,3471,5,0.034137910890820924,0.6048195470763202,0.00296885510134107,1245,2,14.264837365239112,0.20392772899487988,18.33023088171438,6185,COMPLETE
27,0.3388911187648773,2026-05-07 13:35:48.167587,2026-05-07 13:56:36.661876,0 days 00:20:48.494289,mean,False,4,0.10204878208817514,1300,2,0.036744864804870846,0.3275965653441773,0.0016932572845621556,908,3,8.203523275364573,0.6543806572898296,12.077879902161055,6185,COMPLETE
28,4.484835624694824,2026-05-07 13:56:36.662198,2026-05-07 14:04:32.866751,0 days 00:07:56.204553,sum,False,3,0.3160103414946287,2781,4,0.16643919323573114,0.8537928590491871,0.0023861608227623283,665,1,43.80391478110632,-3.8194302837946488,45.10134962498807,6185,COMPLETE
29,0.35689476132392883,2026-05-07 14:04:32.867110,2026-05-07 14:12:24.954243,0 days 00:07:52.087133,norm,True,2,0.17332891418839688,2188,3,0.285028588584545,0.9948233603087009,0.002844220198623889,347,4,7.2678257811907905,0.622640259047647,12.620293917254187,6185,COMPLETE
30,0.372984379529953,2026-05-07 14:12:24.954681,2026-05-07 14:25:04.492006,0 days 00:12:39.537325,mean,False,5,0.20300510505599,2574,4,0.3979714774780498,0.3603388514847248,0.004114624469939242,1545,3,7.653423203859198,0.6139003255877022,12.765605071433692,6185,COMPLETE
31,0.2750973105430603,2026-05-07 14:25:04.492311,2026-05-07 14:37:44.310685,0 days 00:12:39.818374,mean,False,6,0.27934385250832366,2575,5,0.22327797384891465,0.618014828183819,0.002146577863117128,489,3,6.7502845585298035,0.7135440318160464,10.995642832647297,6185,COMPLETE
32,1.0829684734344482,2026-05-07 14:37:44.311108,2026-05-07 14:45:47.470628,0 days 00:08:03.159520,mean,False,6,0.3470844361683086,3652,5,0.30355844377488966,0.6574837354945988,0.00213936449275047,502,4,16.826046949061254,-0.17685070788418789,22.287039014517692,6185,COMPLETE
33,0.2763025462627411,2026-05-07 14:45:47.471096,2026-05-07 14:58:47.671975,0 days 00:13:00.200879,mean,False,6,0.24911607802142516,1957,6,0.10557560923914015,0.5034434981664226,0.002675003241889044,577,2,7.489015307538241,0.7023950251050686,11.207578263473865,6185,COMPLETE
34,0.42703738808631897,2026-05-07 14:58:47.672371,2026-05-07 15:19:02.769363,0 days 00:20:15.096992,mean,True,6,0.36554215202915713,3125,5,0.20037534050051325,0.5903085893740347,0.0013590086903806694,1018,3,8.007358964875328,0.5583524161617404,13.653047975276605,6185,COMPLETE
35,0.3085862398147583,2026-05-07 15:19:02.769820,2026-05-07 15:30:34.313025,0 days 00:11:31.543205,mean,False,5,0.31318731571240754,2598,6,0.6818816600533463,0.7041523666791365,0.0019030479693189746,414,4,8.433189071371562,0.6672950822070628,11.85008040249028,6185,COMPLETE
36,2.798440456390381,2026-05-07 15:30:34.313405,2026-05-07 15:45:30.689766,0 days 00:14:56.376361,norm,False,3,0.2731393431930255,763,5,0.14325351301353814,0.6512190137923233,0.0031916453956060092,345,2,31.928011157344983,-1.863225615781364,34.763178007918654,6185,COMPLETE
37,0.29156312346458435,2026-05-07 15:45:30.690489,2026-05-07 15:57:43.661306,0 days 00:12:12.970817,mean,False,5,0.22655881138151726,3322,6,0.2533200123211744,0.5083500942264729,0.0025035269735634506,470,3,7.486787889460546,0.6940443839527546,11.363729873141393,6185,COMPLETE
38,0.40551161766052246,2026-05-07 15:57:43.661856,2026-05-07 16:10:45.254730,0 days 00:13:01.592874,sum,True,6,0.3323105339505121,4040,1,0.34191504138188133,0.3826864935123953,0.0006450867392629183,669,5,6.980954031300525,0.5759298280825154,13.378596329141024,6185,COMPLETE
39,0.3045722246170044,2026-05-07 16:10:45.255121,2026-05-07 16:24:37.070166,0 days 00:13:51.815045,mean,False,5,0.18176239337052916,946,4,0.7640861655055113,0.7458959837835337,0.001847364484201648,541,3,7.139842921066593,0.6810371752930413,11.602771011672582,6185,COMPLETE
40,3.7058680057525635,2026-05-07 16:24:37.070536,2026-05-07 16:32:46.298134,0 days 00:08:09.227598,norm,False,3,0.13935546015036118,2913,5,0.08774832288032162,0.5697753262994163,0.001199229824804296,1157,2,39.255877784229426,-2.9297278387269667,40.72610940554295,6185,COMPLETE
41,0.3301078975200653,2026-05-07 16:32:46.298640,2026-05-07 16:43:44.386712,0 days 00:10:58.088072,mean,False,6,0.25330621522360913,1974,6,0.1191559758887995,0.4908704284787704,0.002689884370271739,578,2,7.16224896146486,0.6544253751683876,12.077098530039802,6185,COMPLETE
42,0.20035754144191742,2026-05-07 16:43:44.387222,2026-05-07 16:56:45.014632,0 days 00:13:00.627410,mean,False,6,0.23792443488044684,1622,6,0.22067528606829342,0.28366258938883326,0.0027481565265438292,436,2,6.799725899353274,0.7757930373601742,9.72783587043066,6185,COMPLETE
43,0.1983424425125122,2026-05-07 16:56:45.015160,2026-05-07 17:07:45.690604,0 days 00:11:00.675444,mean,False,6,0.21788659201024732,1478,6,0.2341430503111319,0.2038281609030358,0.002214426842235813,425,1,6.9584958914507755,0.7882920764256712,9.452795078419314,6185,COMPLETE
44,0.28740379214286804,2026-05-07 17:07:45.691021,2026-05-07 17:16:12.198870,0 days 00:08:26.507849,mean,False,6,0.21762015915893781,1590,6,0.37417379641241155,0.235577134424027,0.002981565933046976,377,1,7.992199916731666,0.6861803115926663,11.508846039573514,6185,COMPLETE
45,0.29914939403533936,2026-05-07 17:16:12.200186,2026-05-07 17:22:59.411772,0 days 00:06:47.211586,mean,False,4,0.23383250456328078,1255,6,0.5263774449124593,0.15731182967839077,0.0015043348553252377,307,1,9.867667706550469,0.6718333818209374,11.76898170301499,6185,COMPLETE
46,0.28817740082740784,2026-05-07 17:22:59.412311,2026-05-07 17:30:07.840230,0 days 00:07:08.427919,mean,False,5,0.21166234956588856,1144,6,0.1492424148667132,0.23327129273674999,0.0016512791707438935,432,1,6.84820728101553,0.699235381306716,11.266916081141229,6185,COMPLETE
47,0.27162882685661316,2026-05-07 17:30:07.840804,2026-05-07 17:45:38.875314,0 days 00:15:31.034510,mean,False,6,0.26169001229443317,1561,2,0.017724239270811615,0.3076202906318856,0.002317381524772372,385,1,7.116037803902777,0.7186817036575442,10.896591654934534,6185,COMPLETE
48,1.961222529411316,2026-05-07 17:45:38.875844,2026-05-07 17:53:33.883922,0 days 00:07:55.008078,sum,False,2,0.14718790502585954,1458,3,0.03149254407613913,0.18234108381134556,0.004286086545695585,731,2,27.5884636178167,-1.040956871681887,29.35003345670487,6185,COMPLETE
49,0.379578560590744,2026-05-07 17:53:33.884365,2026-05-07 18:10:30.188783,0 days 00:16:56.304418,mean,True,4,0.18312452429513476,486,1,0.010541016135741063,0.061183348220583356,0.0034611596229881503,456,2,8.398737045941857,0.5927531317538999,13.11053950514146,6185,COMPLETE
50,2.8539488315582275,2026-05-07 18:10:30.189102,2026-05-07 18:18:49.263770,0 days 00:08:19.074668,norm,False,5,0.3013124913158505,1763,6,0.04626367379867714,0.1814846056895383,0.002010130551414197,931,1,34.1220461229403,-2.0113234723718723,35.650891260821766,6185,COMPLETE
51,0.29895228147506714,2026-05-07 18:18:49.264099,2026-05-07 18:53:39.229686,0 days 00:34:49.965587,mean,False,6,0.26198391655213593,1015,2,0.02010021133240601,0.3028564596745582,0.0023098055828609868,379,1,7.969043780413961,0.6805234330182071,11.612111341041196,6185,COMPLETE
52,0.37196043133735657,2026-05-07 18:53:39.230233,2026-05-07 19:17:36.883339,0 days 00:23:57.653106,mean,False,6,0.2406748901019973,1453,2,0.017509526476183028,0.2887376035105731,0.0025462388690727085,399,1,7.31041129504661,0.6193417723295053,12.675330657886775,6185,COMPLETE
53,0.3254358172416687,2026-05-07 19:17:36.883777,2026-05-07 19:41:36.293873,0 days 00:23:59.410096,mean,False,6,0.2642803888952384,845,2,0.013453229905380433,0.38928573044026227,0.003403444453956826,306,6,6.933337333265966,0.6667044425771587,11.8605942589976,6185,COMPLETE
54,0.32631126046180725,2026-05-07 19:41:36.294308,2026-05-07 20:34:46.691012,0 days 00:53:10.396704,mean,False,6,0.29600475133404186,1648,1,0.2354824779806571,0.20726027515618134,0.002788964470959152,1938,1,6.820627183844798,0.6683083225680049,11.832022155151225,6185,COMPLETE
55,0.32258275151252747,2026-05-07 20:34:46.691433,2026-05-07 20:52:31.224283,0 days 00:17:44.532850,mean,False,5,0.21447542280444998,1227,3,0.025850008468103217,0.10146200362775992,0.0023302252741418876,434,2,8.12633590266506,0.659198833281381,11.993397374839368,6185,COMPLETE
56,0.29836374521255493,2026-05-07 20:52:31.224658,2026-05-07 21:15:40.977915,0 days 00:23:09.753257,mean,False,6,0.24267426488313615,2334,2,0.07129485117986016,0.2905293523909165,0.001976753371664013,522,2,6.491641385842449,0.6921666084534897,11.398548473727288,6185,COMPLETE
57,0.29364216327667236,2026-05-07 21:15:40.978451,2026-05-07 21:41:00.470449,0 days 00:25:19.491998,mean,False,5,0.16036349545704492,1886,3,0.979670410538717,0.43031022352917175,0.0017471883037984575,1481,3,6.895729916078387,0.7090871119084148,11.080852344380114,6185,COMPLETE
58,0.2034529149532318,2026-05-07 21:41:00.470770,2026-05-07 21:55:39.349866,0 days 00:14:38.879096,mean,False,6,0.1947897925834926,3662,6,0.18498917286363703,0.3398666059338009,0.0030256317805560295,259,1,6.909701557822447,0.7953736197814618,9.29335436932883,6185,COMPLETE
59,3.7686612606048584,2026-05-07 21:55:39.350312,2026-05-07 22:03:33.413288,0 days 00:07:54.062976,sum,False,2,0.1883102078262855,3601,6,0.1688396922096603,0.3554421586474431,0.0032031257924106512,260,4,39.69021323473105,-3.0040040768336196,41.10919214676143,6185,COMPLETE
60,0.6209470629692078,2026-05-07 22:03:33.413694,2026-05-07 22:20:46.528669,0 days 00:17:13.114975,mean,True,4,0.08499605508979238,3227,6,0.19600460015554444,0.2703791638064091,0.0037991440734925015,786,3,11.033229687874993,0.351903140752734,16.539091324937235,6185,COMPLETE
61,0.26826414465904236,2026-05-07 22:20:46.528969,2026-05-07 22:34:39.234123,0 days 00:13:52.705154,mean,False,6,0.22859939253819894,3772,6,0.30561041916204396,0.3351945305737549,0.00298640032008688,310,1,7.8091064749172645,0.7007552652574593,11.238411907422064,6185,COMPLETE
62,0.43716251850128174,2026-05-07 22:34:39.234587,2026-05-07 23:09:40.824427,0 days 00:35:01.589840,mean,False,6,0.19710425788341263,3901,6,0.3109992627525685,0.33538923125948517,0.003005785011930948,299,1,10.978534658396542,0.547843685897381,13.814525958396521,6185,COMPLETE
63,0.3136027455329895,2026-05-07 23:09:40.824976,2026-05-07 23:23:34.926141,0 days 00:13:54.101165,mean,False,6,0.23244808497603756,2972,6,0.2567108359970796,0.21711038959723117,0.0025314005110231093,260,1,8.48965037167795,0.6774837251968906,11.667223148459563,6185,COMPLETE
64,0.3415371775627136,2026-05-07 23:23:34.926487,2026-05-07 23:42:39.755810,0 days 00:19:04.829323,mean,False,6,0.21242949270048772,3582,5,0.4368553717804304,0.3942070877415754,0.0035456854934195923,289,1,8.951644288096201,0.6316758006118216,12.46828766440953,6185,COMPLETE
65,0.19890229403972626,2026-05-07 23:42:39.756163,2026-05-08 00:06:35.939773,0 days 00:23:56.183610,mean,False,5,0.2051482355456207,2751,6,0.33236839713721533,0.12345186370526469,0.0031441836744482165,335,2,7.518265152902688,0.7743874708942382,9.758280414253687,6185,COMPLETE
66,0.3012160360813141,2026-05-08 00:06:35.940135,2026-05-08 00:22:38.111173,0 days 00:16:02.171038,mean,False,5,0.1554085537760237,2270,5,0.18819641853281524,0.10629813752427641,0.004650723935983763,332,2,7.777408374733952,0.6749590277834937,11.712800361492263,6185,COMPLETE
67,0.353674978017807,2026-05-08 00:22:38.111583,2026-05-08 00:40:34.421361,0 days 00:17:56.309778,mean,False,4,0.20607019474595573,2789,5,0.12735729621576442,0.12880777373238747,0.0012722713226370895,363,3,9.965587041757718,0.620581245002054,12.65467756972477,6185,COMPLETE
68,2.5165929794311523,2026-05-08 00:40:34.421709,2026-05-08 00:50:29.200575,0 days 00:09:54.778866,norm,False,3,0.17390171581670355,2065,6,0.5285723050792949,0.1875359232817289,0.001065499111925437,334,3,31.777942720997594,-1.6380046165530602,33.367945114432956,6185,COMPLETE
69,0.291899710893631,2026-05-08 00:50:29.200899,2026-05-08 01:11:44.152384,0 days 00:21:14.951485,mean,False,5,0.28518783031558437,3267,6,0.4002746230301897,0.25921651896698544,0.0027613427563328704,615,2,8.691749704741815,0.6982091900178088,11.286120743158882,6185,COMPLETE
70,0.28869566321372986,2026-05-08 01:11:44.152748,2026-05-08 01:41:37.817799,0 days 00:29:53.665051,mean,False,4,0.11656705898441917,2460,5,0.654427009652951,0.14535743376689395,0.0032293355093377277,422,3,8.01244807571004,0.7037817425617323,11.181436410037888,6185,COMPLETE
71,0.31927213072776794,2026-05-08 01:41:37.818273,2026-05-08 01:51:37.763765,0 days 00:09:59.945492,mean,False,6,0.19307484877658687,3655,6,0.32496200635013367,0.6927932903501123,0.003072431992489792,273,1,8.380954159587839,0.6640773000178617,11.907247011838825,6185,COMPLETE
72,0.3314165771007538,2026-05-08 01:51:37.764291,2026-05-08 02:10:43.058036,0 days 00:19:05.293745,mean,False,6,0.22974388134533144,4067,6,0.26567841612011095,0.5334287307536656,0.0036761662585689824,362,1,7.232586684724257,0.6449990444613862,12.240705458894828,6185,COMPLETE
73,0.4880477786064148,2026-05-08 02:10:43.058513,2026-05-08 02:21:40.829334,0 days 00:10:57.770821,mean,False,6,0.25071030434588615,2780,6,0.2278124925458509,0.4582244549377542,0.004134390825949817,316,2,10.743937294542935,0.488119782962935,14.69859621539895,6185,COMPLETE
74,0.32357361912727356,2026-05-08 02:21:40.829721,2026-05-08 02:49:40.300583,0 days 00:27:59.470862,mean,False,6,0.22296383060799985,3443,6,0.15003992425789808,0.6330027645947768,0.002856286756314979,282,2,7.245890002609166,0.6645353161889143,11.899126733083877,6185,COMPLETE
75,0.2809711694717407,2026-05-08 02:49:40.300980,2026-05-08 03:12:36.902832,0 days 00:22:56.601852,mean,False,5,0.20125628188052438,3112,6,0.27436619841831655,0.34804190795853057,0.0025787639145792825,323,4,8.739279063786821,0.6881976757907919,11.471794560266508,6185,COMPLETE
76,0.42169034481048584,2026-05-08 03:12:36.903627,2026-05-08 03:21:45.736225,0 days 00:09:08.832598,sum,True,2,0.17440042379952164,3787,6,0.3650571145154197,0.576546280847192,0.002130744947104079,1726,1,7.832728494013522,0.5610046840342932,13.611990272439229,6185,COMPLETE
77,0.2955826222896576,2026-05-08 03:21:45.736566,2026-05-08 03:33:40.310580,0 days 00:11:54.574014,mean,False,5,0.24205334844630322,1768,6,0.8190595053515398,0.3163976795243876,0.003327501529139845,476,3,7.849772401037193,0.6819254133711659,11.586604224810715,6185,COMPLETE
78,0.2847217619419098,2026-05-08 03:33:40.311060,2026-05-08 03:48:38.741521,0 days 00:14:58.430461,mean,False,6,0.21763365189207579,2933,5,0.10442593812200082,0.08623114076822302,0.0015483841948915778,353,2,7.594685404476082,0.6942611701409155,11.359703249525433,6185,COMPLETE
79,0.21521532535552979,2026-05-08 03:48:38.741934,2026-05-08 04:08:35.006364,0 days 00:19:56.264430,mean,False,3,0.27054124441183736,1345,5,0.4483754414975389,0.2403446070957293,0.002393448845379523,408,1,7.646085539611964,0.7717707853487764,9.814706225203192,6185,COMPLETE
80,0.3859381377696991,2026-05-08 04:08:35.006763,2026-05-08 04:23:34.180185,0 days 00:14:59.173422,mean,False,3,0.3055475234239226,1137,4,0.6109653367494288,0.23360451265680773,0.0024320943292450246,449,3,10.746990019444409,0.5799118169938644,13.315636146135871,6185,COMPLETE
81,0.38409265875816345,2026-05-08 04:23:34.180571,2026-05-08 04:37:33.522130,0 days 00:13:59.341559,mean,False,3,0.27009778834794856,1440,4,0.43840938199656826,0.2779537431490604,0.002675599018532807,510,1,10.41402336743539,0.601808798940558,12.963955046231064,6185,COMPLETE
82,0.263523131608963,2026-05-08 04:37:33.522481,2026-05-08 05:02:31.907783,0 days 00:24:58.385302,mean,False,2,0.283391412222612,271,5,0.2895169984533176,0.1556305000558127,0.002219029164157113,404,1,8.710718406239343,0.7106733481589775,11.050601235036691,6185,COMPLETE
83,0.23511265218257904,2026-05-08 05:02:31.908255,2026-05-08 05:25:32.498487,0 days 00:23:00.590232,mean,False,2,0.2898160955508914,591,5,0.21488654438331073,0.19387998980533028,0.002228560457845251,395,1,7.492861050333626,0.7474726980969325,10.323949135244593,6185,COMPLETE
84,0.29931795597076416,2026-05-08 05:25:32.498885,2026-05-08 05:50:31.573243,0 days 00:24:59.074358,mean,False,2,0.3285731886352947,371,4,0.17276632551020749,0.1962079305675143,0.001791089793948495,552,1,8.276143617252236,0.6696448241155073,11.808160420421014,6185,COMPLETE
85,2.9695801734924316,2026-05-08 05:50:31.573687,2026-05-08 05:59:35.223033,0 days 00:09:03.649346,norm,False,2,0.2749618762069333,584,5,0.21517962291156617,0.24443796719600683,0.0022357467748195642,454,2,34.95948980974399,-2.1445799990144065,36.431160921106915,6185,COMPLETE
86,0.3116533160209656,2026-05-08 05:59:35.223498,2026-05-08 06:04:27.957781,0 days 00:04:52.734283,mean,False,2,0.24985533993218054,1315,4,0.5122631732802978,0.16872078069070132,0.002078370719225508,412,1,9.039894968709737,0.6570654878784543,12.030876916599876,6185,COMPLETE
87,0.2099095582962036,2026-05-08 06:04:27.958354,2026-05-08 06:12:06.462471,0 days 00:07:38.504117,mean,False,3,0.30876677282238657,458,5,0.3483646093316539,0.7437123840237139,0.002433057739988784,380,1,6.637759211917221,0.7847114479613251,9.532397745885273,6185,COMPLETE
88,0.26505693793296814,2026-05-08 06:12:06.462869,2026-05-08 06:17:15.662028,0 days 00:05:09.199159,mean,False,3,0.32625911504008903,348,5,0.3419261014957236,0.8164962820147369,0.002433214702038119,954,1,7.213668159602049,0.7255504664951054,10.762742140244127,6185,COMPLETE
89,0.5599668025970459,2026-05-08 06:17:15.664074,2026-05-08 06:19:31.594200,0 days 00:02:15.930126,mean,True,2,0.30629670814273147,652,5,0.40940801479163547,0.8965783358536644,0.0026316748058865676,386,1,10.82169996182959,0.3961182539042205,15.96495276443554,6185,COMPLETE
90,3.5557548999786377,2026-05-08 06:19:31.594592,2026-05-08 06:24:03.363776,0 days 00:04:31.769184,sum,False,3,0.3530815930234586,479,5,0.4808452384537538,0.7271194180523034,0.0028888816624139313,1210,1,38.60945793774789,-2.7852744584579394,39.970572988373235,6185,COMPLETE
91,0.17695610225200653,2026-05-08 06:24:03.364235,2026-05-08 06:28:40.938095,0 days 00:04:37.573860,mean,False,4,0.29124401003232997,464,6,0.2400617103458299,0.21874797161741355,0.0019487044907089386,374,1,6.394109367302761,0.8124015025249949,8.898286090226849,6185,COMPLETE
92,0.24588076770305634,2026-05-08 06:28:40.938621,2026-05-08 06:35:31.732779,0 days 00:06:50.794158,mean,False,4,0.29383246819647973,438,6,0.2374186514232209,0.21389942668109932,0.001915536517825783,364,1,7.166223184004269,0.7468335811060427,10.337005231962838,6185,COMPLETE
93,0.2571502923965454,2026-05-08 06:35:31.733194,2026-05-08 06:43:19.674950,0 days 00:07:47.941756,mean,False,4,0.312809738609855,431,5,0.18669824266006896,0.7745683666126467,0.002037683008702072,1089,1,7.274760724424641,0.724080096758993,10.79153444811505,6185,COMPLETE
94,0.1945534348487854,2026-05-08 06:43:19.675311,2026-05-08 06:59:21.561216,0 days 00:16:01.885905,mean,False,3,0.34016509386186333,508,6,0.24409881941209274,0.223689906695547,0.0022248673994815387,345,1,6.427272974876213,0.7911254581899126,9.38932651533567,6185,COMPLETE
